TIME,DRAW,ENGLAND,FRANCE
07:36.7,125,1.055,19.25
07:41.7,125,1.065,19.5
07:46.7,125,1.065,18.75
07:51.7,125,1.065,18.75
07:56.7,115,1.065,18.75
08:01.7,115,1.065,17.75
08:06.7,117.5,1.065,17.75
08:11.8,117.5,1.065,16.75
08:16.7,117.5,1.065,16.75
08:21.7,122.5,1.07,16.5
08:26.7,122.5,1.07,16.25
08:31.7,122.5,1.075,16.25
08:36.8,122.5,1.075,16.25
08:41.7,110,1.075,16.25
08:47.2,125,1.075,15.5
08:51.8,125,1.075,17
08:56.8,127.5,1.075,15.5
09:01.7,127.5,1.075,14.75
09:06.7,127.5,1.075,15.75
09:11.7,112.5,1.075,15.75
09:16.7,105,1.075,15
09:21.8,105,1.075,15
09:26.7,100,1.075,15
09:31.8,100,1.085,14.25
09:36.7,100,1.085,14.25
09:41.8,95,1.085,14.25
09:46.9,95,1.085,14.25
09:51.7,95,1.08,14.25
09:56.7,95,1.08,13.75
10:01.9,95,1.08,13.75
10:06.8,95,1.08,14.25
10:11.9,95,1.075,14.5
10:16.9,95,1.075,14.5
10:21.8,95,1.075,14.75
10:26.7,90,1.075,15.5
10:31.8,95,1.08,15.5
10:36.7,90,1.08,14.25
10:41.7,95,1.07,14.75
10:46.7,95,1.07,14.75
10:51.8,85,1.065,15
10:56.7,85,1.065,15
11:01.7,97.5,1.065,15
11:06.7,97.5,1.065,14.5
11:11.7,97.5,1.065,14.5
11:16.7,97.5,1.065,15
11:21.7,97.5,1.065,15
11:26.9,97.5,1.065,16
11:32.1,95,1.12,13.25
11:36.8,80,1.12,13.25
11:42.0,77.5,1.1,13.25
11:46.8,77.5,1.1,12.75
11:51.7,77.5,1.1,12.75
11:56.7,77.5,1.095,13
12:01.8,77.5,1.095,13
12:06.7,77.5,1.095,13.25
12:11.9,77.5,1.095,14.5
12:16.7,77.5,1.095,13.75
12:21.8,80,1.095,10
12:27.4,80,1.095,10
12:31.9,80,1.095,10
12:36.8,80,1.095,10
12:41.8,80,1.095,10
12:46.8,80,1.095,10
12:51.8,80,1.095,10
12:56.9,82.5,1.095,10
13:01.8,82.5,1.105,10
13:06.7,82.5,1.105,9.5
13:11.7,82.5,1.1,13.75
13:16.8,82.5,1.1,13.5
13:21.7,82.5,1.1,13.75
13:26.8,82.5,1.095,13.25
13:31.8,82.5,1.095,13.25
13:36.8,82.5,1.095,13.25
13:41.8,82.5,1.095,14.25
13:46.8,82.5,1.095,14.25
13:51.8,82.5,1.095,14.25
13:56.8,82.5,1.095,13.5
14:01.8,82.5,1.08,14.25
14:06.8,82.5,1.08,14.25
14:11.8,80,1.08,14.75
14:16.9,80,1.08,14.75
14:21.8,80,1.08,14.75
14:26.7,82.5,1.075,15.5
14:31.9,82.5,1.075,15.5
14:36.8,95,1.075,14.75
14:41.8,85,1.075,14.5
14:46.8,87.5,1.075,13.75
14:51.8,92.5,1.085,16.25
14:56.8,92.5,1.085,16.25
15:01.8,92.5,1.075,15.25
15:06.8,90,1.11,12.25
15:11.8,95,1.16,11.5
15:16.8,75,1.175,8.2
15:21.8,60,1.185,8.1
15:26.8,62.5,1.205,7.9
15:31.8,57.5,1.205,6.6
15:36.8,55,1.21,6.7
15:41.8,50,1.215,6.3
15:46.8,48.5,1.215,6.3
15:51.9,48.5,1.215,6.3
15:56.8,49.5,1.235,6.3
16:01.8,49.5,1.235,6.3
16:06.8,48,1.215,6.7
16:11.8,48,1.215,6.5
16:16.8,48,1.22,7.9
16:23.2,52.5,1.215,6.1
16:27.3,52.5,1.215,6.1
16:31.8,52.5,1.215,6.1
16:36.8,54,1.2,6.3
16:41.8,47,1.195,8
16:46.8,55,1.2,8
16:51.8,52.5,1.175,6.5
16:56.8,52.5,1.18,6.7
17:01.9,52.5,1.18,6.7
17:06.8,52.5,1.175,7
17:11.8,52.5,1.175,7
17:16.8,52.5,1.155,7
17:21.8,57.5,1.185,6.9
17:26.8,57.5,1.175,8.2
17:31.8,57.5,1.175,8.2
17:36.8,65,1.175,7.2
17:41.8,67.5,1.16,7.2
17:46.8,65,1.175,7.7
17:51.8,65,1.185,6.9
17:56.9,62.5,1.155,7.2
18:01.8,65,1.155,7.4
18:06.9,67.5,1.155,7.1
18:11.8,70,1.155,7.4
18:16.8,70,1.155,7.4
18:22.1,70,1.18,7.4
18:27.2,70,1.185,7.3
18:32.3,72.5,1.175,7.4
18:36.8,72.5,1.175,7.8
18:41.8,72.5,1.165,7.8
18:46.9,77.5,1.165,7
18:51.8,82.5,1.195,6.7
18:56.8,65,1.19,6.7
19:01.8,67.5,1.195,6.7
19:06.8,67.5,1.19,6.7
19:11.8,65,1.265,5.9
19:16.8,46,1.275,5.6
19:21.8,43,1.31,5.45
19:26.8,53,1.285,4.85
19:31.8,55.5,1.24,5.75
19:36.8,59.5,1.24,5.9
19:41.8,59.5,1.215,5.95
19:46.8,60.5,1.215,5.9
19:52.0,60.5,1.215,5.65
19:56.8,60.5,1.22,5.6
20:01.8,58,1.255,5.25
20:06.8,61.5,1.31,5
20:11.8,59,1.31,4.4
20:16.8,59,1.315,4.4
20:21.8,59,1.405,3.85
20:26.8,59,1.275,3.85
20:31.8,59,1.275,4.35
20:36.8,65,1.235,4.85
20:41.9,67.5,1.235,4.85
20:46.8,70,1.235,4.85
20:51.8,70,1.235,4
20:56.8,75,1.235,4
21:01.8,80,1.235,4
21:06.9,232.5,1.23,4.25
21:11.7,232.5,1.39,4
21:16.7,232.5,1.39,3.6
21:21.7,132.5,1.335,3.6
21:26.7,107.5,1.37,4.025
21:31.7,102.5,1.455,3.5
21:36.7,100,1.455,3.425
21:41.7,75,1.45,3.3
21:46.7,80,1.445,3.35
21:51.7,80,1.435,3.35
21:56.7,62.5,1.435,3.725
22:01.7,60,1.41,3.725
22:06.7,70,1.385,3.725
22:11.7,70,1.385,3.8
22:16.7,72.5,1.385,3.725
22:21.7,72.5,1.41,3.625
22:26.9,65,1.41,3.625
22:31.8,60,1.43,3.575
22:36.8,60,1.415,3.55
22:41.7,65,1.415,3.45
22:46.7,70,1.405,3.55
22:51.8,70,1.405,3.475
22:56.8,65,1.56,3.275
23:02.2,70,1.485,2.76
23:06.7,67.5,1.5,2.685
23:11.7,67.5,1.485,3.155
23:16.7,67.5,1.485,3.075
23:21.7,65,1.485,3.225
23:26.7,57.5,1.495,3.3
23:31.7,62.5,1.46,3.3
23:36.8,62.5,1.515,3.3
23:41.8,60,1.525,2.8
23:46.8,62.5,1.565,2.8
23:51.8,62.5,1.565,2.75
23:56.8,62.5,1.57,2.72
24:01.9,60,1.575,2.72
24:06.7,60,1.66,2.63
24:11.7,60,1.65,2.77
24:16.7,62.5,1.65,2.61
24:21.7,57.5,2.055,2.31
24:26.7,57.5,1.625,2.69
24:31.7,57.5,1.635,2.69
24:36.7,53,1.625,2.71
24:41.7,57.5,1.62,2.71
24:46.7,50.5,1.625,2.69
24:51.7,55,1.62,2.71
24:56.7,55,1.625,2.75
25:01.8,55,1.635,2.68
25:06.7,57.5,1.61,2.75
25:11.8,57.5,1.61,2.74
25:17.0,62.5,1.62,2.71
25:21.9,54,1.565,2.75
25:26.7,54,1.64,2.66
25:32.1,54,1.64,2.66
25:36.7,55,1.595,2.68
25:41.7,55,1.855,2.25
25:46.8,55,1.835,2.31
25:51.7,49,1.865,2.31
25:56.8,49,1.765,2.36
26:01.7,49,1.77,2.36
26:06.7,48,1.77,2.38
26:11.7,53,1.815,2.23
26:16.7,53,1.87,2.49
26:21.8,45,1.87,2.31
26:27.3,52,1.785,2.31
26:31.8,49.5,1.785,2.35
26:36.8,49.5,1.78,2.34
26:41.7,49.5,1.925,2.21
26:46.9,47,1.925,2.21
26:52.0,50.5,1.77,2.42
26:56.7,50.5,1.745,2.35
27:01.7,50.5,1.745,2.44
27:06.8,50.5,1.7,2.56
27:11.9,50.5,1.7,2.56
27:16.8,49.5,1.7,2.55
27:21.8,45,1.68,2.56
27:26.7,45,1.68,2.57
27:31.8,55.5,1.65,2.6
27:36.7,58,1.65,2.66
27:41.7,60,1.555,2.77
27:46.8,57.5,1.54,2.92
27:51.7,55,1.605,2.895
27:56.8,60,1.57,2.925
28:01.8,60,1.525,3.05
28:06.9,57.5,1.545,3.05
28:11.7,60,1.48,3.075
28:16.8,60,1.485,3.175
28:21.8,60,1.49,3.375
28:26.7,60,1.49,3.375
28:31.7,57.5,1.5,3.15
28:36.8,60,1.455,3.425
28:41.7,70,1.48,3.01
28:46.8,72.5,1.505,3.01
28:51.8,70,1.585,2.89
28:56.7,70,1.545,2.89
29:01.7,67.5,1.595,2.95
29:06.8,62.5,1.575,3.015
29:11.7,62.5,1.55,2.82
29:16.7,62.5,1.58,2.82
29:21.7,62.5,1.55,2.8
29:26.8,60,1.54,2.84
29:31.9,60,1.565,3.085
29:36.7,60,1.535,3.085
29:41.7,60,1.535,3.125
29:46.8,62.5,1.53,3.125
29:51.8,62.5,1.535,3.1
29:56.8,60,1.51,3.35
30:01.7,60,1.48,3.275
30:06.8,62.5,1.43,3.275
30:11.8,62.5,1.525,3.275
30:16.8,52.5,1.555,3.275
30:21.8,52.5,1.56,3.03
30:26.8,52.5,1.56,2.95
30:31.8,52.5,1.565,2.95
30:36.8,52.5,1.565,2.95
30:41.7,52.5,1.565,2.95
30:47.0,52.5,1.57,2.82
30:51.9,52.5,1.525,3.15
30:57.0,52.5,1.525,3.15
31:01.7,52.5,1.575,3.1
31:07.1,52.5,1.565,2.95
31:11.8,52.5,1.565,3.1
31:16.8,52.5,1.595,2.82
31:21.8,52.5,1.595,2.85
31:26.8,52.5,1.645,2.71
31:31.8,52.5,1.66,2.69
31:36.8,52.5,1.66,2.8
31:41.8,52.5,1.66,2.71
31:46.8,52.5,1.64,2.75
31:51.8,51.5,1.615,2.75
31:56.9,51.5,1.615,2.75
32:01.8,52.5,1.61,2.77
32:06.8,52.5,1.63,2.77
32:12.0,52.5,1.63,2.77
32:16.8,52.5,1.63,2.68
32:22.0,52.5,1.63,2.68
32:26.8,52.5,1.665,2.68
32:31.8,52.5,1.665,2.68
32:36.8,52.5,1.655,2.68
32:41.8,51.5,1.625,2.81
32:46.8,51.5,1.625,2.83
32:51.8,50.5,1.605,2.84
32:56.8,47,1.605,2.83
33:01.8,47,1.605,2.84
33:06.8,48,1.595,2.84
33:11.8,48,1.595,2.73
33:16.8,48,1.595,2.73
33:21.8,48,1.625,2.73
33:26.8,48,1.625,2.78
33:31.8,48,1.655,2.78
33:37.1,48,1.655,2.8
33:41.9,48,1.625,2.88
33:46.8,48,1.585,2.88
33:51.8,48,1.585,2.95
33:56.8,48,1.585,2.95
34:01.8,47,1.565,2.93
34:06.8,48,1.56,3
34:11.8,48,1.565,3
34:16.8,49,1.555,3.04
34:21.8,49,1.555,2.95
34:26.8,49,1.555,2.95
34:31.8,49,1.48,3.19
34:36.8,49,1.48,3.19
34:41.8,49,1.49,3.3
34:46.9,49,1.49,3.175
34:51.8,49,1.49,3.275
34:57.2,49,1.47,3.275
35:01.8,49,1.475,3.275
35:06.9,49,1.47,3.24
35:11.8,49,1.47,3.275
35:16.8,49,1.41,3.5
35:21.8,49,1.43,3.575
35:26.8,47,1.51,3.525
35:31.8,47,1.435,3.525
35:36.8,48,1.435,3.5
35:41.8,48,1.43,3.5
35:46.8,44,1.455,3.525
35:51.8,44,1.435,3.525
35:56.8,44,1.44,3.375
36:01.9,44,1.44,3.375
36:06.8,44,1.465,3.35
36:11.8,45,1.45,3.35
36:16.8,46,1.485,2.925
36:22.0,46,1.51,2.875
36:26.9,46,1.5,2.875
36:32.1,46,1.485,2.85
36:36.8,46,1.485,2.875
36:41.8,46,1.545,3.075
36:46.8,46,1.595,2.77
36:51.8,41,1.66,2.77
36:56.8,41,1.65,2.71
37:01.9,41,1.65,2.76
37:06.8,39,1.65,2.75
37:11.8,39,1.61,2.78
37:16.8,37,1.635,2.78
37:21.8,37,1.665,2.74
37:26.8,37,1.66,2.72
37:31.8,40,1.615,2.76
37:36.8,40,1.625,2.76
37:41.8,40,1.635,2.77
37:46.9,41,1.61,2.86
37:52.0,38,1.63,2.72
37:56.8,41,1.515,2.91
38:01.8,41,1.495,3.05
38:06.8,42,1.515,3.11
38:11.8,42,1.58,2.87
38:16.8,43,1.58,3.07
38:21.8,43,1.575,2.87
38:26.8,44,1.575,2.96
38:31.8,44,1.575,2.96
38:36.8,43,1.54,2.97
38:41.8,39,1.495,2.97
38:46.8,35,1.44,3.425
38:51.8,35,1.415,3.95
38:56.8,37,1.25,4.1
39:01.8,40,1.3,4.1
39:07.1,40,1.3,4
39:11.9,39,1.365,3.9
39:16.9,39,1.395,3.5
39:21.8,39,1.42,3.5
39:26.8,41,1.38,4.05
39:31.8,40,1.38,4.05
39:36.8,43,1.385,4
39:41.9,41,1.385,4
39:46.8,42,1.35,4
39:51.8,42,1.455,3.55
39:56.8,42,1.455,3.55
40:01.8,42,1.45,3.575
40:06.8,42,1.41,3.575
40:11.8,42,1.475,3.575
40:16.8,42,1.43,3.55
40:21.8,42,1.4,3.85
40:26.8,42,1.445,3.55
40:31.9,41,1.475,3.55
40:36.9,42,1.475,3.425
40:41.8,42,1.4,3.6
40:46.8,42,1.385,4.45
40:51.8,42,1.275,4.25
40:56.8,39,1.27,4.5
41:01.9,39,1.295,4.5
41:06.9,39,1.305,4.9
41:11.8,41,1.295,4.9
41:16.8,41,1.285,5.2
41:21.8,39,1.26,5.2
41:26.8,39,1.265,5.4
41:31.8,40,1.24,6.55
41:36.8,43,1.275,4.8
41:41.8,40,1.23,6.45
41:46.8,42,1.23,7.25
41:51.8,41,1.23,7.65
41:56.9,43,1.22,7.25
42:01.9,44,1.195,7.8
42:07.0,45,1.195,7.8
42:11.8,46,1.195,8
42:16.9,48.5,1.195,8
42:21.8,48.5,1.2,6.5
42:26.9,49.5,1.235,5.2
42:31.8,49.5,1.245,5.65
42:36.8,49.5,1.185,6.05
42:41.8,47,1.185,6.15
42:46.9,47,1.23,5.9
42:51.8,48,1.235,6.1
42:56.8,48,1.24,6.1
43:01.9,49,1.24,5.85
43:06.9,49,1.24,6.4
43:11.8,49,1.225,5.9
43:16.8,51.5,1.255,5.85
43:21.8,50.5,1.255,5.85
43:26.9,48,1.255,5.75
43:32.0,47,1.275,5.3
43:36.8,45,1.265,5.3
43:41.8,45,1.265,5.3
43:46.8,45,1.265,5.3
43:51.8,45,1.28,4.95
43:56.8,45,1.28,4.85
44:01.9,45,1.28,4.85
44:06.8,45,1.28,4.9
44:11.9,45,1.28,4.85
44:16.8,45,1.275,4.9
44:22.1,46,1.27,4.95
44:26.8,46,1.27,4.95
44:31.8,47,1.275,4.9
44:36.8,47,1.275,4.85
44:41.9,47,1.28,4.9
44:47.1,49.5,1.265,5.15
44:51.9,47,1.275,5.15
44:56.8,47,1.275,5.15
45:01.8,48,1.27,5.2
45:06.9,48,1.235,5.4
45:11.8,48,1.235,5.4
45:16.9,48,1.235,5.4
45:21.8,48,1.235,5.4
45:26.8,47,1.23,5.6
45:31.8,47,1.27,5.2
45:36.8,47,1.285,5.1
45:41.9,47,1.28,4.95
45:46.8,47,1.29,5
45:51.8,49.5,1.23,5.2
45:56.8,50.5,1.23,5.85
46:01.8,49.5,1.22,6.4
46:06.8,49.5,1.19,6.5
46:11.9,49.5,1.19,6.9
46:16.9,49.5,1.18,7.4
46:21.8,49.5,1.115,9.35
46:26.8,50.5,1.115,11.15
46:31.9,50.5,1.095,15.5
46:36.9,51.5,1.09,15.5
46:41.9,51.5,1.09,16.75
46:46.8,51.5,1.085,17.25
46:51.9,51.5,1.085,17.25
46:56.8,51.5,1.08,15.25
47:01.8,51.5,1.09,12.5
47:06.8,62.5,1.085,17
47:11.8,62.5,1.09,14.25
47:16.8,72.5,1.085,14.25
47:21.9,72.5,1.085,14.25
47:26.9,72.5,1.085,9.6
47:31.9,72.5,1.085,9.35
47:37.8,87.5,1.075,12.1
47:44.5,72.5,1.075,12.1
47:48.4,72.5,1.075,12.1
47:55.5,72.5,1.075,10.85
47:56.9,72.5,1.075,10.85
48:01.8,72.5,1.075,27.35
48:06.8,80,1.075,10.6
48:11.9,82.5,1.075,27.35
48:16.9,75,1.075,12.35
48:21.9,75,1.075,19.35
48:26.9,75,1.075,10.35
48:32.0,72.5,1.075,10.35
48:36.9,75,1.075,10.35
48:41.9,72.5,1.085,10.1
48:46.9,72.5,1.085,14.75
48:51.9,77.5,1.085,14.75
48:57.0,75,1.075,16.75
49:01.9,87.5,1.075,15
49:06.9,87.5,1.075,17.25
49:11.9,90,1.075,17.25
49:16.9,95,1.075,16.75
49:21.9,95,1.075,15
49:26.9,90,1.085,15
49:31.9,90,1.085,15
49:36.9,90,1.085,9.9
49:41.9,87.5,1.085,9.75
49:46.9,87.5,1.085,9.75
49:51.9,87.5,1.095,9.75
49:56.9,87.5,1.095,9.25
50:01.9,95,1.095,13.25
50:06.9,95,1.095,14
50:12.0,90,1.095,14
50:16.9,87.5,1.095,12.75
50:21.9,87.5,1.095,13.5
50:26.9,87.5,1.095,13.75
50:31.9,90,1.085,13.75
50:36.9,90,1.085,13.75
50:41.9,95,1.08,13.75
50:47.1,90,1.08,13.75
50:51.9,87.5,1.08,14.75
50:56.9,87.5,1.08,14.75
51:01.9,87.5,1.085,16.75
51:06.9,87.5,1.085,15.25
51:11.9,85,1.085,15.25
51:16.9,85,1.085,15.25
51:21.9,85,1.08,15.25
51:26.9,87.5,1.08,14.75
51:31.9,85,1.08,15.25
51:37.0,85,1.08,14.5
51:42.0,85,1.095,14.5
51:47.0,82.5,1.095,14.5
51:51.9,85,1.085,14.5
51:56.9,85,1.085,14.25
52:01.9,85,1.085,14.25
52:06.9,85,1.085,13.75
52:11.9,77.5,1.085,14.25
52:16.9,77.5,1.085,14.25
52:21.9,77.5,1.085,14.25
52:26.9,82.5,1.085,15.25
52:31.9,62.5,1.085,15.25
52:36.9,62.5,1.085,15.25
52:41.9,75,1.085,14.5
52:46.9,75,1.085,14.5
52:51.9,75,1.085,14.5
52:56.9,75,1.085,14.5
53:02.0,70,1.085,14.5
53:06.9,70,1.085,14
53:11.9,70,1.085,14
53:16.9,70,1.085,14
53:21.9,70,1.085,14
53:26.9,70,1.085,15.5
53:31.9,72.5,1.075,16
53:36.9,72.5,1.075,16.5
53:41.9,72.5,1.075,16.5
53:46.9,70,1.075,16.5
53:51.9,70,1.075,17.25
53:56.9,70,1.075,17.25
54:01.9,77.5,1.055,25
54:06.9,80,1.055,33
54:11.9,82.5,1.055,26
54:16.9,82.5,1.055,33
54:21.9,82.5,1.055,25
54:27.2,85,1.055,25
54:32.0,85,1.055,25.5
54:36.9,85,1.055,22.5
54:41.9,85,1.055,19
54:46.9,87.5,1.06,21.5
54:51.9,85,1.065,21.5
54:56.9,85,1.055,22.5
55:01.9,87.5,1.06,21
55:06.9,87.5,1.055,22.25
55:11.9,87.5,1.055,25.5
55:16.9,87.5,1.055,26.5
55:21.9,85,1.055,25.5
55:26.9,85,1.055,26
55:31.9,85,1.055,25
55:37.2,87.5,1.055,25
55:42.0,87.5,1.055,24
55:46.9,87.5,1.055,23
55:52.0,87.5,1.055,23
55:56.9,87.5,1.055,21.5
56:01.9,87.5,1.055,21.5
56:06.9,87.5,1.055,21.5
56:12.5,87.5,1.055,24
56:16.9,87.5,1.055,24
56:21.9,87.5,1.055,23.5
56:27.2,87.5,1.055,23.5
56:32.0,87.5,1.055,21.5
56:37.7,87.5,1.065,23.5
56:42.5,87.5,1.065,23.5
56:48.0,87.5,1.065,22.5
56:52.8,87.5,1.065,22
56:57.8,87.5,1.065,22.5
57:02.9,87.5,1.055,22.5
57:07.5,87.5,1.055,22.5
57:12.7,90,1.055,23
57:19.1,90,1.055,22.5
57:22.7,90,1.055,21.5
57:27.7,90,1.055,21.5
57:32.8,87.5,1.055,22
57:42.7,87.5,1.055,22.5
57:52.9,87.5,1.055,23
57:58.3,87.5,1.055,23
58:02.8,87.5,1.055,23
58:08.2,87.5,1.055,25.5
58:13.0,87.5,1.055,22.5
58:17.4,87.5,1.055,36
58:22.7,85,1.055,36
58:26.9,87.5,1.055,21.5
58:33.3,87.5,1.055,21.5
58:37.6,87.5,1.055,21.5
58:41.9,87.5,1.055,25
58:47.7,87.5,1.055,24.5
58:51.9,87.5,1.055,24.5
58:57.2,87.5,1.055,25
59:02.6,90,1.055,24.5
59:06.9,90,1.055,24
59:12.5,90,1.055,22.5
59:17.4,85,1.055,23
59:21.9,85,1.055,23.5
59:27.9,85,1.055,23
59:32.7,85,1.055,23
59:37.7,85,1.055,23
59:42.8,87.5,1.055,23
59:47.8,87.5,1.055,23
59:52.7,87.5,1.055,23
59:58.1,87.5,1.055,23
00:03.1,87.5,1.055,22.5
00:07.8,87.5,1.055,23
00:13.1,87.5,1.055,23
00:17.6,87.5,1.055,23
00:23.1,87.5,1.055,23
00:28.0,87.5,1.055,23
00:33.2,87.5,1.055,23
00:38.5,87.5,1.055,23
00:43.1,87.5,1.055,23
00:48.0,87.5,1.055,23
00:51.9,87.5,1.055,23
00:57.7,87.5,1.055,23
01:02.9,87.5,1.055,23
01:07.0,87.5,1.055,23
01:13.0,85,1.055,24
01:17.7,85,1.055,22.5
01:22.7,85,1.055,22.5
01:28.0,85,1.055,22.5
01:32.7,85,1.055,22.5
01:37.9,85,1.055,22.5
01:42.8,85,1.055,22.5
01:47.8,85,1.055,22.5
01:52.9,85,1.055,22.5
01:57.8,85,1.055,22.5
02:02.8,85,1.055,22.5
02:07.9,85,1.055,22.5
02:12.8,85,1.055,22.5
02:17.9,85,1.055,22.5
02:22.8,85,1.055,22.5
02:28.3,85,1.055,22.5
02:33.1,85,1.055,22.5
02:38.0,85,1.055,22.5
02:43.2,85,1.055,24
02:48.3,85,1.055,24
02:52.9,85,1.055,24
02:58.2,85,1.055,24
03:02.8,85,1.055,24
03:07.4,85,1.055,24
03:13.0,87.5,1.055,24.5
03:17.8,87.5,1.055,24.5
03:22.9,87.5,1.055,24
03:28.0,87.5,1.055,24
03:32.9,92.5,1.055,23.5
03:37.8,92.5,1.055,23.5
03:42.9,90,1.055,23.5
03:48.1,90,1.055,23.5
03:52.9,90,1.055,23.5
03:57.5,90,1.055,23.5
04:04.1,90,1.055,23.5
04:07.9,90,1.055,23.5
04:12.6,90,1.055,23.5
04:17.3,90,1.055,24.5
04:22.0,90,1.055,23.5
04:27.5,90,1.055,23.5
04:32.0,90,1.055,23.5
04:37.0,90,1.055,23.5
04:42.5,90,1.055,23.5
04:48.0,90,1.055,24
04:52.9,90,1.055,24
04:57.5,90,1.055,24
05:02.9,90,1.055,24.5
05:07.4,90,1.055,24.5
05:12.8,90,1.055,24.5
05:17.5,90,1.055,24.5
05:23.3,90,1.055,24.5
05:28.1,90,1.055,24.5
05:33.4,90,1.055,24.5
05:38.7,90,1.055,24.5
05:43.1,90,1.055,24.5
05:48.4,90,1.055,23.5
05:53.1,90,1.055,23.5
05:58.2,90,1.055,23.5
06:03.1,90,1.055,23.5
06:08.1,90,1.055,23.5
06:12.7,90,1.055,23.5
06:17.7,90,1.055,23.5
06:22.8,90,1.055,23.5
06:29.4,90,1.055,23.5
06:33.0,90,1.055,23.5
06:38.1,90,1.055,22.5
06:42.7,90,1.055,22.5
06:47.7,90,1.055,22.5
06:52.1,90,1.055,22.5
06:57.0,90,1.055,22.5
07:02.8,90,1.055,23
07:07.6,90,1.055,22.5
07:12.7,90,1.055,22.5
07:17.0,90,1.055,22.5
07:22.5,90,1.055,22.5
07:27.3,90,1.055,17.5
07:33.2,90,1.055,22.5
07:37.0,90,1.055,22.5
07:42.8,90,1.055,22.5
07:47.9,90,1.055,22.5
07:52.7,90,1.055,22.5
07:57.5,90,1.055,22.5
08:03.1,90,1.055,22.5
08:08.3,90,1.055,22.5
08:13.0,90,1.055,22.5
08:18.2,90,1.065,22.5
08:22.7,90,1.065,22.5
08:28.3,90,1.065,17.5
08:33.5,90,1.065,17.5
08:38.0,90,1.065,21.5
08:43.3,90,1.065,17.5
08:48.4,90,1.07,21.5
08:52.9,90,1.07,21
08:58.5,90,1.07,17.5
09:03.6,90,1.07,17
09:08.0,90,1.07,17
09:13.0,90,1.075,15.5
09:18.2,90,1.08,15.5
09:22.9,90,1.08,15.5
09:28.2,90,1.1,13.75
09:33.0,90,1.1,13.75
09:38.1,90,1.1,10
09:42.7,90,1.11,10
09:47.1,90,1.12,10
09:52.9,75,1.17,9.5
09:57.0,62.5,1.17,6.5
10:02.0,58,1.17,6.5
10:07.3,58,1.17,6.5
10:12.0,53,1.19,6.5
10:17.0,53,1.215,7
10:22.6,51.5,1.215,6.8
10:32.1,54,1.215,7.3
10:37.4,54,1.215,7.3
10:42.0,54,1.215,7.5
10:47.0,51,1.195,7.6
10:53.9,51,1.19,7.8
